"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW23";"SW_PUSH_KEYB_6mm_H4.3mm";1;"9 (";;;
2;"SW18";"SW_PUSH_KEYB_6mm_H4.3mm";1;"4 $ ;";;;
3;"SW34";"SW_PUSH_KEYB_6mm_H4.3mm";1;"+ =";;;
4;"SW68";"SW_PUSH_KEYB_6mm_H4.3mm";1;"X Ч";;;
5;"R11,R13,R10,R7,R8,R19,R20,R15,R14,R6,R18,R17,R12,R5,R9,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";16;"220";;;
6;"SW19";"SW_PUSH_KEYB_6mm_H4.3mm";1;"5 %";;;
7;"SW20";"SW_PUSH_KEYB_6mm_H4.3mm";1;"6 ^ :";;;
8;"SW76";"SW_PUSH_KEYB_6mm_H4.3mm";1;"/ ? .";;;
9;"SW12";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф8";;;
10;"SW82,SW78";"SW_PUSH_KEYB_6mm_H4.3mm";2;"КТРЛ";;;
11;"SW46";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Y Н";;;
12;"SW67";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Z Я";;;
13;"SW43";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ПЕЧАТЬ";;;
14;"R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1K";;;
15;"SW70";"SW_PUSH_KEYB_6mm_H4.3mm";1;"V М";;;
16;"SW56";"SW_PUSH_KEYB_6mm_H4.3mm";1;"S Ы";;;
17;"SW72";"SW_PUSH_KEYB_6mm_H4.3mm";1;"N Т";;;
18;"SW14";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф10";;;
19;"SW28";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ВПРАВО";;;
20;"SW60";"SW_PUSH_KEYB_6mm_H4.3mm";1;"H Р";;;
21;"SW77";"SW_PUSH_KEYB_6mm_H4.3mm";1;"RSHIFT";;;
22;"SW73";"SW_PUSH_KEYB_6mm_H4.3mm";1;"M Ь";;;
23;"SW83";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ПАУЗА";;;
24;"SW65";"SW_PUSH_KEYB_6mm_H4.3mm";1;"' " Э";;;
25;"SW79,SW81";"SW_PUSH_KEYB_6mm_H4.3mm";2;"АЛЬТ";;;
26;"D1";"LED_D3.0mm";1;"Св.1";;;
27;"SW75";"SW_PUSH_KEYB_6mm_H4.3mm";1;"> . Ю";;;
28;"SW74";"SW_PUSH_KEYB_6mm_H4.3mm";1;"< , Б";;;
29;"SW36";"SW_PUSH_KEYB_6mm_H4.3mm";1;"УДАЛ";;;
30;"SW48";"SW_PUSH_KEYB_6mm_H4.3mm";1;"I Ш";;;
31;"SW55";"SW_PUSH_KEYB_6mm_H4.3mm";1;"A Ф";;;
32;"SW6";"SW_PUSH_KEYB_6mm_H4.3mm";1;"` ~ Ё";;;
33;"SW30";"SW_PUSH_KEYB_6mm_H4.3mm";1;"НАЗАД";;;
34;"SW47";"SW_PUSH_KEYB_6mm_H4.3mm";1;"U Г";;;
35;"SW71";"SW_PUSH_KEYB_6mm_H4.3mm";1;"B И";;;
36;"J2";"PinSocket_2x03_P2.54mm_Vertical_ICSP";1;"ICSP";;;
37;"SW11";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф7";;;
38;"SW64";"SW_PUSH_KEYB_6mm_H4.3mm";1;": ; Ж";;;
39;"SW7";"SW_PUSH_KEYB_6mm_H4.3mm";1;"1 !";;;
40;"SW26";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ВНИЗ";;;
41;"SW15";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф11";;;
42;"SW22";"SW_PUSH_KEYB_6mm_H4.3mm";1;"8 *";;;
43;"SW45";"SW_PUSH_KEYB_6mm_H4.3mm";1;"T Е";;;
44;"SW32";"SW_PUSH_KEYB_6mm_H4.3mm";1;"УД. ВП.";;;
45;"SW44";"SW_PUSH_KEYB_6mm_H4.3mm";1;"R К";;;
46;"RN1";"R_Array_SIP9";1;"10K";;;
47;"SW39";"SW_PUSH_KEYB_6mm_H4.3mm";1;"W Ц";;;
48;"U3";"DIP-16_W7.62mm_Socket";1;"KP1564ИP52- 2";;;
49;"SW5";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф4";;;
50;"U1";"DIP-20_W7.62mm_Socket";1;"ATtiny2313-20P";;;
51;"U2";"DIP-16_W7.62mm_Socket";1;"KP1564ИP52 - 1";;;
52;"SW27";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ВЛЕВО";;;
53;"SW63";"SW_PUSH_KEYB_6mm_H4.3mm";1;"L Д";;;
54;"SW58";"SW_PUSH_KEYB_6mm_H4.3mm";1;"F А";;;
55;"SW31";"SW_PUSH_KEYB_6mm_H4.3mm";1;"СТР ВНИЗ";;;
56;"SW41";"SW_PUSH_KEYB_6mm_H4.3mm";1;"В КОНЕЦ";;;
57;"J1";"PinSocket_1x04_P2.54mm_Vertical";1;"PS/2";;;
58;"SW51";"SW_PUSH_KEYB_6mm_H4.3mm";1;"[  X {";;;
59;"SW25";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ВВЕРХ";;;
60;"SW10";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф6";;;
61;"SW35";"SW_PUSH_KEYB_6mm_H4.3mm";1;"\ |";;;
62;"SW50";"SW_PUSH_KEYB_6mm_H4.3mm";1;"P З";;;
63;"SW57";"SW_PUSH_KEYB_6mm_H4.3mm";1;"D В";;;
64;"U4";"DIP-16_W7.62mm_Socket";1;"KP1564ИP9";;;
65;"SW16";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф12";;;
66;"SW52";"SW_PUSH_KEYB_6mm_H4.3mm";1;"] Ъ } ";;;
67;"SW66";"SW_PUSH_KEYB_6mm_H4.3mm";1;"LSHIFT";;;
68;"SW9";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф5";;;
69;"SW3";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф2";;;
70;"SW17";"SW_PUSH_KEYB_6mm_H4.3mm";1;"3 #";;;
71;"SW13";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф9";;;
72;"SW61";"SW_PUSH_KEYB_6mm_H4.3mm";1;"J О";;;
73;"SW54";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ВЕРХРег";;;
74;"R4,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10K";;;
75;"SW33";"SW_PUSH_KEYB_6mm_H4.3mm";1;"- _";;;
76;"SW37";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ТАБ";;;
77;"C1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.5Mф";;;
78;"SW59";"SW_PUSH_KEYB_6mm_H4.3mm";1;"G П";;;
79;"SW24";"SW_PUSH_KEYB_6mm_H4.3mm";1;"0 )";;;
80;"SW2";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф1";;;
81;"SW62";"SW_PUSH_KEYB_6mm_H4.3mm";1;"K Л";;;
82;"SW29";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ВСТВ";;;
83;"SW42";"SW_PUSH_KEYB_6mm_H4.3mm";1;"СТР ВВЕРХ";;;
84;"SW84,SW80";"SW_PUSH_KEYB_6mm_H4.3mm";2;"ПРОБЕЛ";;;
85;"SW49";"SW_PUSH_KEYB_6mm_H4.3mm";1;"O Щ";;;
86;"SW40";"SW_PUSH_KEYB_6mm_H4.3mm";1;"E У";;;
87;"D2";"LED_D3.0mm";1;"Св.2";;;
88;"SW1";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ОТМ";;;
89;"SW4";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Ф3";;;
90;"SW53";"SW_PUSH_KEYB_6mm_H4.3mm";1;"ВВОД";;;
91;"SW8";"SW_PUSH_KEYB_6mm_H4.3mm";1;"2 @ "";;;
92;"SW38";"SW_PUSH_KEYB_6mm_H4.3mm";1;"Q Й";;;
93;"SW21";"SW_PUSH_KEYB_6mm_H4.3mm";1;"7 & ?";;;
94;"SW69";"SW_PUSH_KEYB_6mm_H4.3mm";1;"C";;;
